Algorithm Type,Algorithm,Route,Route_,OF,Time min
First solution strategy,LOCAL_CHEAPEST_ARC,"[0, 7, 37, 29, 43, 17, 6, 27, 5, 36, 18, 26, 16, 42, 31, 35, 45, 32, 19, 46, 20, 30, 38, 47, 4, 41, 23, 9, 44, 34, 3, 25, 1, 28, 33, 40, 15, 21, 2, 22, 13, 24, 12, 10, 11, 14, 39, 8]", 0 -> 7 -> 37 -> 29 -> 43 -> 17 -> 6 -> 27 -> 5 -> 36 -> 18 -> 26 -> 16 -> 42 -> 31 -> 35 -> 45 -> 32 -> 19 -> 46 -> 20 -> 30 -> 38 -> 47 -> 4 -> 41 -> 23 -> 9 -> 44 -> 34 -> 3 -> 25 -> 1 -> 28 -> 33 -> 40 -> 15 -> 21 -> 2 -> 22 -> 13 -> 24 -> 12 -> 10 -> 11 -> 14 -> 39 -> 8 -> 0,17062,5
Local search options,GUIDED_LOCAL_SEARCH,"[0, 8, 39, 2, 21, 15, 40, 33, 28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 38, 30, 20, 12, 24, 13, 22, 10, 46, 19, 11, 14, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 7]", 0 -> 8 -> 39 -> 2 -> 21 -> 15 -> 40 -> 33 -> 28 -> 1 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 41 -> 4 -> 47 -> 38 -> 30 -> 20 -> 12 -> 24 -> 13 -> 22 -> 10 -> 46 -> 19 -> 11 -> 14 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 7 -> 0,17102,5
Local search options,TABU_SEARCH,"[0, 8, 39, 14, 11, 10, 22, 2, 21, 15, 40, 33, 28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 30, 38, 24, 13, 12, 20, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 7]", 0 -> 8 -> 39 -> 14 -> 11 -> 10 -> 22 -> 2 -> 21 -> 15 -> 40 -> 33 -> 28 -> 1 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 41 -> 4 -> 47 -> 30 -> 38 -> 24 -> 13 -> 12 -> 20 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 7 -> 0,17121,5
First solution strategy,PATH_MOST_CONSTRAINED_ARC,"[0, 8, 39, 14, 11, 10, 22, 2, 21, 15, 40, 33, 28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 30, 38, 24, 13, 12, 20, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 7]", 0 -> 8 -> 39 -> 14 -> 11 -> 10 -> 22 -> 2 -> 21 -> 15 -> 40 -> 33 -> 28 -> 1 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 41 -> 4 -> 47 -> 30 -> 38 -> 24 -> 13 -> 12 -> 20 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 7 -> 0,17121,5
Local search options,GENERIC_TABU_SEARCH,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
First solution strategy,ALL_UNPERFORMED,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
First solution strategy,PATH_CHEAPEST_ARC,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
Local search options,AUTOMATIC,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
Local search options,GREEDY_DESCENT,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
First solution strategy,GLOBAL_CHEAPEST_ARC,"[0, 21, 15, 40, 33, 47, 4, 28, 1, 41, 25, 3, 34, 44, 9, 23, 30, 38, 20, 12, 24, 13, 22, 2, 39, 14, 11, 10, 46, 19, 32, 45, 35, 31, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 29, 37, 8, 7]", 0 -> 21 -> 15 -> 40 -> 33 -> 47 -> 4 -> 28 -> 1 -> 41 -> 25 -> 3 -> 34 -> 44 -> 9 -> 23 -> 30 -> 38 -> 20 -> 12 -> 24 -> 13 -> 22 -> 2 -> 39 -> 14 -> 11 -> 10 -> 46 -> 19 -> 32 -> 45 -> 35 -> 31 -> 42 -> 16 -> 26 -> 18 -> 36 -> 5 -> 27 -> 6 -> 17 -> 43 -> 29 -> 37 -> 8 -> 7 -> 0,17418,0
